src_id,target_id,score
rec3gE0SxMEmHKUbO,rec4Pk2DAfhZXN0yY,0.5
rec3gE0SxMEmHKUbO,receEwyu3MCk3Ft8m,0.5
rec3gE0SxMEmHKUbO,recWD7iTI1J2yEF39,0.2
rec3gE0SxMEmHKUbO,rec5iz605vqgbs7EU,0.2
rec3gE0SxMEmHKUbO,recPd5zn0dwbHuMbK,0.14285714285714285
rec3gE0SxMEmHKUbO,recIEt8BOqeWWCRAp,0.2
rec3gE0SxMEmHKUbO,recEFXjlnDhKcnQuD,0.2
rec3gE0SxMEmHKUbO,recG9jEcsuRJrIWqM,0.2
rec3gE0SxMEmHKUbO,recovMmWllkkp198I,0.14285714285714285
rec3gE0SxMEmHKUbO,recDVHl5LxgAbavhs,0.2
rec3gE0SxMEmHKUbO,recDtHJFmNP4Pbwhe,0.2
rec3gE0SxMEmHKUbO,recD1zBTW3IbqSpRP,0.2
rec3gE0SxMEmHKUbO,recDQFQcq7GDTKIwn,0.5
rec3gE0SxMEmHKUbO,recYwo8aMaWxjkrFh,0.5
rec3gE0SxMEmHKUbO,recarfmVX2CLjFh6C,0.2
rec3gE0SxMEmHKUbO,recstsaTLU4szkJ5G,0.2
rec3gE0SxMEmHKUbO,rec98dOGNBAUGqNzK,0.2
rec3gE0SxMEmHKUbO,recJW7MRJHqZOHBAt,0.2
rec3gE0SxMEmHKUbO,recLEH6dlVe1OpDMJ,0.2
rec3gE0SxMEmHKUbO,reccYYkM3VqG7Twwa,0.2
rec3gE0SxMEmHKUbO,recLvrKSlnPft0Oiz,0.2
rec4Pk2DAfhZXN0yY,rec5h3jkUwC0pFVFQ,0.5
rec4Pk2DAfhZXN0yY,rec6Z14rGccT5ukG4,0.2
rec4Pk2DAfhZXN0yY,recDAWJfastRekdyB,0.5
rec4Pk2DAfhZXN0yY,rectYjEIgrGR7SffT,0.1111111111111111
rec4Pk2DAfhZXN0yY,recVBiQz5oh6c2fZ1,0.14285714285714285
rec4Pk2DAfhZXN0yY,recLEhS1xnpBcBY9I,0.2
rec4Pk2DAfhZXN0yY,recOlnIqyzPxtxCqo,0.14285714285714285
rec4Pk2DAfhZXN0yY,receEwyu3MCk3Ft8m,0.5
