id,createdTime,fields.Network Data,fields.Type,fields.Name,fields.Last Modified,fields.Incoming Document,fields.Global
recVL8tCZ838jLpkl,2024-07-19T04:00:45.000Z,['recnQnDrU8unthesh'],ภาครัฐ,กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม,2024-07-19T10:41:38.000Z,"['recMB6qjQytpkNLdr', 'recNrrIPy2Yw8EkaW']",
recWBkiR8Ks60p7Ko,2024-07-19T04:00:05.000Z,,สำนักงานนโยบายและแผน,Business Council for International Understanding (BCIU),2024-07-19T10:47:45.000Z,['recekbd5BWMi35gAy'],
recWKrcTTKUY95be4,2024-07-19T04:00:45.000Z,['rec9f5Eg8PBHb7lak'],เอกชน,Bangkok Insight,2024-07-19T10:45:48.000Z,['reckaVksbDyscWcv4'],
recXgPBT8xQv8TfAv,2024-07-22T17:34:27.000Z,"['recTv0ttA25op3T4I', 'recsKydGSgzkTKlqm', 'recq2k6hTvGz8jHRc', 'recLpIndP02TZO1Jv']",ภาครัฐ,[x] รัฐบาล,2024-08-13T16:39:23.000Z,,
recYlliVx8tj8Y7W6,2024-07-19T04:00:45.000Z,,ภาครัฐ,สำนักงานทรัพยากรน้ำแห่งชาติ (สนทช.),2024-07-19T10:40:24.000Z,['recJCOBgpyy2RXqDm'],
recZdNSYrIAUiQ6RM,2024-07-19T04:40:22.000Z,['reczVFTFxSgsidKFE'],ภาครัฐ,กระทรวงพลังงาน,2024-07-19T10:41:38.000Z,,
recbRgEJdEZvJsGKA,2024-08-18T15:58:38.000Z,['rec8fE5Iska1HVtNo'],ภาครัฐ,กรมส่งเสริมการปกครองท้องถิ่น (สถ.) ,2024-08-18T16:02:14.000Z,,
recbuZDr65GIZoTbb,2024-07-19T04:40:14.000Z,['recRUQnnJkXInuVQx'],สมาคม,สมาคมอุตสาหกรรมปูนซิเมนต์ไทย,2024-07-19T10:46:03.000Z,,
recc1VeUi0jgIvQyp,2024-07-19T04:00:45.000Z,,สำนักงานนโยบายและแผน,TCMA,2024-07-19T10:47:45.000Z,['recwSQ4IenjahCJRQ'],
reccMtR9GGcngRxW3,2024-08-18T15:58:38.000Z,['recx0atL68PuNoRkP'],ภาครัฐ,UN-ESCAP,2024-08-18T16:02:03.000Z,,
recd1jD3I6ehMm2PG,2024-08-18T15:58:38.000Z,['receHv8nQ51OFvEPk'],เอกชน,บริษัท พีเอส เอ็นจิเนียริ่ง คอลซัลแตน์ จำกัด,2024-08-18T16:02:44.000Z,,
